"","species","x","y"
"1","Acinonyx_jubatus",38.08,38506.47
"2","Acrobates_pygmaeus",5.54,12.6
"3","Addax_nasomaculatus",66.91,97522.4
"4","Aepyceros_melampus",50.12,46493.22
"5","Aepyprymnus_rufescens",15.92,1532.67
"6","Ailuropoda_melanoleuca",60.05,110500
"7","Ailurus_fulgens",24.88,5608
"8","Akodon_spegazzinii",6.24,20.5
"9","Alces_alces",90.73,272155
"10","Alouatta_caraya",26.575,5683.333333
"11","Alouatta_palliata",25.18428571,6557.142857
"12","Anomalurus_derbianus",13.97,730
"13","Anomalurus_pelii",16.18,1640
"14","Antechinus_minimus",7.98,41.75
"15","Antechinus_stuartii",6.69,23.82
"16","Antilocapra_americana",46.16,47508.47
"17","Antilope_cervicapra",45.55,39462.5
"18","Aonyx_cinerea",23.71,3326.17
"19","Aotus_trivirgatus",16.405,800
"20","Aplodontia_rufa",14.65,889.53
"21","Arborimus_longicaudus",5.76,28.68
"22","Atelerix_albiventris",9.72,225.93
"23","Atelerix_algirus",12.67,527.29
"24","Atelerix_frontalis",11.72,400
"25","Ateles_geoffroyi",29.38888889,7445.555556
"26","Ateles_hybridus",28.2275,7900
"27","Atherurus_africanus",21.58,3341.17
"28","Atilax_paludinosus",24.55,2455.63
"29","Baiomys_musculus",5.16,11.72
"30","Baiomys_taylori",4.55,7.81
"31","Bassariscus_astutus",18.19,1071.7
"32","Bison_bonasus",124.7,1700000
"33","Blarina_brevicauda",5.35,13.64
"34","Boselaphus_tragocamelus",62.6,149685
"35","Brachylagus_idahoensis",11.12,369.22
"36","Bradypus_variegatus",17.82,3047.67
"37","Cacajao_melanocephalus",22.74666667,3016.666667
"38","Caenolestes_caniventer",8.08,33.64
"39","Caenolestes_fuliginosus",7.35,29.89
"40","Callicebus_moloch",17.275,1210
"41","Callicebus_torquatus",16.7,1200
"42","Callithrix_geoffroyi",11.72,370
"43","Callithrix_jacchus",12.21,265.5
"44","Callosciurus_prevostii",13.21,408
"45","Callospermophilus_lateralis",9.7,185.93
"46","Calomys_musculinus",5.38,15.44
"47","Calomyscus_bailwardi",6.15,18.22
"48","Calomyscus_baluchi",6.54,18
"49","Caluromys_derbianus",11.19,281.63
"50","Caluromysiops_irrupta",11.06,496
"51","Camelus_bactrianus",79.78,728000
"52","Canis_latrans",34.93,12468.51
"53","Canis_lupus",50.233,46920
"54","Castor_canadensis",31.78,20276.96
"55","Catagonus_wagneri",42.86,38000
"56","Cebus_albifrons",22.68,2920
"57","Cephalophus_dorsalis",34.91,18778.64
"58","Cephalophus_niger",37.74,18936
"59","Cephalophus_rufilatus",31.48,10614.06
"60","Cercartetus_nanus",5.73,22.67
"61","Cercocebus_torquatus",28.44,4900
"62","Cercopithecus_albogularis",26.01916667,6725.416667
"63","Cercopithecus_mitis",26.62285714,6728.142857
"64","Cerdocyon_thous",26.82,5603.9
"65","Cervus_elaphus",85.45,224117.33
"66","Cervus_nippon",49.79,74950
"67","Chaetodipus_hispidus",6.25,42.61
"68","Chiropotes_satanas",21.87,2306.25
"69","Chlorocebus_pygerythrus",24.69333333,4919.333333
"70","Choeropsis_liberiensis",83.73,233800
"71","Choloepus_hoffmanni",24.22,4702.62
"72","Chrysocyon_brachyurus",42.25,24056
"73","Civettictis_civetta",25.3,10050
"74","Coendou_insidiosus",18.5,1666
"75","Coendou_mexicanus",20.93,2200
"76","Colobus_polykomos",29.54166667,8533.333333
"77","Conepatus_chinga",16.92,1225
"78","Conepatus_leuconotus",17.88,944.98
"79","Conepatus_semistriatus",20.23,2656
"80","Cricetomys_gambianus",16.27,1695
"81","Crossarchus_alexandri",18.16,1500
"82","Cryptonanus_chacoensis",5.47,13
"83","Cryptoprocta_ferox",27.2,7484.27
"84","Cryptotis_parva",3.98,4.8
"85","Cuniculus_paca",27.07,6650
"86","Cuniculus_taczanowskii",22.63,3401.94
"87","Cuon_alpinus",33.25,11339.80925
"88","Cynomys_leucurus",13.62,629.83
"89","Cynomys_ludovicianus",14.39,914.31
"90","Dasyprocta_fuliginosa",21.5,4300
"91","Dasypus_kappleri",31.46,10000
"92","Dasypus_novemcinctus",25.6,4663.06
"93","Dasypus_sabanicola",18.33,1084.85
"94","Dasyuroides_byrnei",9.49,100.5
"95","Dasyurus_albopunctatus",13.08,548
"96","Dasyurus_maculatus",18.04,2243.5
"97","Dasyurus_viverrinus",14.78,887.6
